R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH
1.50976491,1.246419204,-0.528607081,0.244301517,-0.738505029,-0.29930691,0.5374938,-2.042136191
-2.333768575,1.50976491,-2.61807438,-1.824670618,-0.165548714,-1.6394722,-2.396951694,-1.937599945
2.380246976,-2.333768575,-1.673674741,0.884560544,1.328054998,1.4329761,-2.471457276,-1.540600396
-2.492424561,2.380246976,-1.142216376,1.537450587,-0.978249807,0.722147548,-0.4956433,-3.101975671
3.000963006,-2.492424561,1.22369099,0.053994384,1.628486541,1.174256765,0.387241445,1.474560868
-2.00481621,3.000963006,0.111055329,-1.396281449,-1.04247095,-1.553355066,1.543765564,1.250621331
0.552026188,-2.00481621,-1.794933098,-1.474560868,0.440794489,-1.04247095,-2.218389912,1.983698113
0.3480575,0.549782911,1.872551569,2.16519267,-0.887414416,1.931340288,0.992342715,1.030925127
2.278722216,0.346010437,-2.807157638,-0.979806074,-0.464282705,-1.057522981,-3.250159611,-0.456781981
-2.760742496,2.278722216,-1.624867963,-2.057895625,0.262213977,-1.757598551,-1.263362166,1.901124866
1.650659359,-2.760742496,-0.142143636,1.368716076,1.780640709,1.970095958,-1.693555051,-1.785364395
1.131183891,1.650659359,0.062682638,1.401408715,1.000257936,1.6394722,-1.494871058,-0.611383399
2.042136191,1.127536846,-1.799779736,-2.860544449,2.923589476,-2.380246976,1.248517512,-1.697612456
1.878144505,2.042136191,-3.101975671,-3.250159611,1.714128164,-3.101975671,-2.333768575,3.000963006
0.632431494,1.878144505,-1.563089579,0.896019751,0.168480471,0.752501834,-2.807157638,2.396951694
-2.218389912,0.630079105,-1.635788351,2.099697284,-1.697612456,1.181972897,-2.61807438,1.398840485
2.155255212,-2.218389912,-0.922243871,-1.6394722,1.120287397,-0.877457175,0.445046647,-2.082538076
-0.618368921,2.155255212,0.83027705,1.081425505,0.14798711,0.913432738,-0.468580563,1.950351997
-2.348703372,-0.620704133,1.318800914,-0.282216147,-0.75378157,-0.69612364,2.185734115,-1.2527307
-1.834951475,-2.348703372,1.646907375,-1.963429325,1.483190378,-1.213566006,2.396951694,1.72256444
-0.654957381,-1.834951475,-0.675397429,1.140367983,-1.314215932,-0.021203366,-0.835730699,-0.555396324
-1.213566006,-0.657347775,-0.857799003,0.437610596,1.537450587,1.309658411,-1.99767751,0.446110943
-0.846713306,-1.213566006,-1.086628382,-1.33978497,2.253598254,0.823494514,-1.856115201,-0.680247819
-2.589494787,-0.848093313,-1.895285453,1.335070928,0.066545564,1.10952232,-2.648967156,-1.160919248
1.086628382,-2.589494787,-0.782256541,-1.799779736,-2.291843973,-2.333768575,2.091040723,1.000257936
1.963429325,1.08315654,1.553355066,0.914896326,1.824670618,1.753100399,-0.729672887,2.380246976
-0.870397807,1.963429325,1.757598551,1.762132549,0.880293192,1.925155405,0.130471032,2.012058564
-0.352156016,-0.871806203,-1.84543002,1.164708838,-1.506759334,-0.228445052,-1.834951475,-2.414353329
-0.83027705,-0.35420749,1.919043299,1.579650833,0.762774574,1.685522874,1.550142712,0.626557042
-0.607901816,-0.831638143,-0.919298898,0.008673563,-0.430198663,-0.274202173,-1.24432637,0.89170883
-0.285226039,-0.61022205,-1.386135612,-1.311933765,-0.117845689,-1.16660992,-1.409169403,1.144068679
1.376130488,-0.288238516,-1.403986221,1.271971307,-0.263211531,0.831638143,-1.943936457,-1.824670618
1.771310785,1.373650623,0.25324759,-0.42808532,0.525285333,0.052064237,0.697352103,-1.269810193
0.950631212,1.771310785,-1.309658411,1.775956423,-1.04081305,1.125718936,-1.907029833,-1.99767751
2.682615936,0.947607143,-2.019408018,0.871806203,-1.744209043,-0.784876551,-2.026868196,-2.065970991
2.091040723,2.682615936,-0.775729875,-1.04247095,-0.788816702,-1.240156973,-0.461064935,1.709955375
0.265207428,2.091040723,-0.42281029,-1.775956423,-1.005037293,-1.804669024,2.22982108,-2.682615936
0.575752068,0.263211531,1.669777086,-1.15903069,1.427615577,0.074274455,1.766703064,2.082538076
-1.867016602,0.573478657,2.562885659,2.218389912,0.617202579,2.319336863,2.265981463,-1.794933098
-1.491931774,-1.867016602,-1.748637441,-0.944591714,0.534156342,-0.398693328,-1.990639185,-1.24432637
2.414353329,-1.491931774,-2.117497956,-0.984489182,-1.373650623,-1.454841352,-2.492424561,2.333768575
1.697612456,2.414353329,1.060900544,0.05978606,-0.258226356,-0.162618378,0.599806591,2.348703372
1.744209043,1.697612456,-0.668151472,-1.217601025,-1.4329761,-1.596657043,1.27631145,-0.824847984
-2.514548439,1.744209043,-0.443982856,-0.044345518,2.082538076,1.503767307,-1.790128259,-0.351130835
