,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH,LH0_ON,LH0_FH,LH0_ONFH,LH0_M,LH0_SLH,LH0_ROD,ON_FH,ON_ONFH,ON_M,ON_SLH,ON_ROD,FH_ONFH,FH_M,FH_SLH,FH_ROD,ONFH_M,ONFH_SLH,ONFH_ROD,M_SLH,M_ROD,SLH_ROD
0,0.8954614861097064,-0.8693243864107677,-0.6892922880867393,0.1100137807736374,-1.4316534535266563,-0.9835704920134426,-0.0354242675805175,0.0708930581817578,2,3,3,3,2,3,1,1,1,0,1,3,3,2,3,3,2,3,2,3,1
1,-1.6519156439542642,0.8967843866434972,-0.123385948432121,-0.3075966603387053,0.3290199797722229,0.0230229928339906,-0.1978467608230311,-0.2826256787913898,1,0,0,1,1,1,2,2,3,3,3,0,1,1,1,1,1,1,3,3,3
2,0.1046705507552967,-1.6519156439542642,1.1107169232478924,0.0132817130237471,0.9878883181556444,0.701696839492472,0.8488349233123038,0.8052084527633091,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4889635000867702,0.1028901454844915,-0.546679294595208,-1.14585665536037,-0.3827945132706609,-1.1074413794947733,0.7559745918992278,-1.1123591726958706,1,1,1,0,1,1,3,3,2,3,3,3,2,3,3,2,3,3,1,1,3
4,-0.2359216537437252,0.4909601827536627,-0.6859276352324764,0.2322815754415424,-0.105560877474328,0.0593580791382894,-0.9331172202222944,-0.4989666247797205,0,1,0,1,1,1,1,0,1,1,1,2,3,3,3,1,1,1,3,3,3
5,0.409611262447853,-0.2350113429483381,-0.2005562543575864,-0.558024028981315,0.1457232329565587,-0.2688296755279916,-0.0904361170528563,0.2725035014713747,3,2,3,3,2,3,2,3,3,2,3,1,1,0,1,3,2,3,2,3,1
6,-0.9074246713082575,0.410574357291421,0.551827183817873,-0.4455089955599556,-0.1385679222187181,-0.3942525925720337,1.006815773186282,0.7536201226450495,1,1,1,0,0,0,3,3,2,2,2,3,2,2,2,2,2,2,0,0,0
7,-1.297000913508095,-0.9101008251388376,-1.0261109713136995,-0.8836251046832779,0.4396498287284577,-0.3355697515444613,-1.0721662755780277,-0.4929588246747249,3,2,3,3,3,3,2,3,3,3,3,1,1,1,1,3,3,3,3,3,3
8,0.6526954026712373,0.6548881991974561,-1.01864485742794,1.23201310353963,0.0522636518584565,-0.3789863683666314,-1.2667971409112244,0.8064335035153894,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,3,2,3,2,3,1
9,-0.1672355157529795,0.6537914079764826,-0.6937906717096074,-0.0851030797653972,-0.8823175905279965,-0.6915397306940084,-0.3590820175462068,-0.0966612571963726,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,1.7790081143376792,-0.1654400042101033,1.6624012120443457,1.2301240548307022,-0.1466181640952192,0.8064335035153894,1.284778614876419,1.805479716358246,2,3,2,2,2,2,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0
11,-0.8784040653299904,1.7790081143376792,-0.1287408652132928,-0.2132203850379186,0.6870483217135106,0.3252835985543612,-0.4396498287284549,-0.5851305950806824,1,0,0,1,1,1,2,2,3,3,3,0,1,1,1,1,1,1,3,3,3
12,0.0061979902025939,-0.8810115830395814,-0.1789197605635286,0.2514275437059938,-0.0700054367052185,0.1100137807736374,-0.3913832754339277,-0.1466181640952192,2,3,2,3,3,3,1,0,1,1,1,2,3,3,3,1,1,1,3,3,3
