R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH
0.200629653,-1.289322441,0.009157956,-0.467873942,0.355800122,-0.132521239,0.260648925,-0.450429421
-1.301431939,0.199739827,-0.994944217,-0.200629653,-1.03137278,-0.733722954,-0.745187028,-0.564560117
1.128235208,-1.303468825,-0.124606512,-0.09915399,-0.568656281,-0.398883397,0.555378132,-1.028408251
-0.425470002,1.128235208,0.919110881,-0.047551401,0.692114076,0.405502932,1.087948249,-0.568656281
-0.272397192,-0.426424996,0.336353864,0.223823145,-0.241745933,0.075514766,0.441758623,-0.17931594
0.198850159,-0.273302443,-0.124606512,0.620703523,-0.2390527,0.435996528,-0.77428663,0.741737579
-0.394165853,0.197960648,-0.064148763,0.003924793,0.552327884,0.371641138,-0.353014006,-0.535138728
0.434079052,-0.395108657,0.096524913,-0.70771353,-0.366039741,-0.794454123,0.68548003,0.854492272
-0.669025093,0.433120912,0.34837655,-1.049353808,0.025731974,-0.909836319,1.134852746,0.648438368
-0.980737232,-0.670116422,-1.275429474,-0.816166331,0.293276173,-0.568656281,-1.214843235,-0.943331278
0.941971217,1.11677192,-0.950157931,1.921825674,0.161616941,0.16780555,-1.396741561,0.958408827
-0.892816474,0.940612896,-0.872217434,-0.342821465,-0.308790544,-0.442720395,-0.744036228,-0.67120855
1.447069274,-0.894116488,0.730302519,0.634509933,0.166921075,0.662493754,0.264259871,0.531117283
-1.123304293,1.447069274,-0.351158118,-0.340972127,-0.242644066,-0.390398129,0.000436087,-0.559453188
1.032858449,-1.123304293,0.50518236,0.50518236,-0.30787591,0.299655684,0.34837655,0.386635939
1.309612167,1.03137278,0.417843918,0.160733365,-0.16426843,0.055411396,1.163549024,-1.683874193
-0.145731173,1.309612167,0.225612097,-0.055411396,-0.30513355,-0.176657643,0.814950046,-1.069224138
-1.072318731,-0.14749437,-0.583068923,0.107045406,0.616479212,0.46495676,-0.9556513,-0.558433555
-0.158966588,-1.072318731,-1.380728155,-0.11845603,-0.274207918,-0.202409783,-1.680284996,-0.328979491
-0.471769726,-0.160733365,0.843238022,0.50815724,0.166036731,0.559453188,0.781368244,-0.326218728
1.168713361,-0.472744789,0.359519249,0.004796976,1.11840054,0.688793264,-0.491357981,0.771934712
1.523248325,1.168713361,0.525101154,-1.139848704,0.747491593,-0.661407947,1.22217274,0.080763817
1.015178228,1.523248325,0.276925697,0.46495676,0.475672683,0.683275383,-0.038821495,-0.929808153
-0.154551802,1.013719176,0.272397192,-0.807677482,0.874771988,-0.213996539,0.188186201,1.20757842
1.220334214,-0.15631735,-0.465928714,-0.729164272,-0.109677336,-0.68548003,-0.418795841,1.189689621
-0.878614559,1.220334214,-0.947421971,-0.927123891,-0.301480632,-0.935196877,-0.696553739,0.639852319
-1.669645303,-0.879898301,-1.153312393,-0.913801506,1.380728155,0.015263639,-1.520471627,0.116699583
1.115146256,-1.669645303,1.005009789,-0.14837614,1.089525855,0.577907792,0.9556513,-0.045805151
-1.175648015,1.113523534,0.015263639,-0.198850159,0.813734965,0.367905589,-0.317951244,-0.301480632
-0.675585098,-1.175648015,-0.646287395,-1.073869886,0.024859521,-0.929808153,0.779003367,-1.662655823
1.606283874,-0.676681256,0.647362507,0.717833224,0.009157956,0.64951498,0.585137724,-0.839510285
-0.661407947,1.606283874,0.784923777,0.046678258,1.514953135,0.975109564,0.045805151,0.078139022
0.425470002,-0.662493754,0.779003367,1.399058614,-0.358589003,1.080100509,-0.003924793,-0.322541571
-0.463985246,0.424515397,0.090392964,0.287817514,-0.170459766,0.161616941,-0.238155342,0.5131254
0.189074031,-0.46495676,-0.261551341,-0.798046642,-0.232775192,-0.807677482,0.219353883,0.834558037
-1.439654383,0.188186201,-0.854492272,0.153669209,-1.060001207,-0.531117283,-0.425470002,-1.281353328
0.30787591,-1.442117209,0.959790327,0.076389459,-0.888925452,-0.485462026,1.477555503,0.725755183
0.086890533,0.306961534,-1.026929371,-0.572762009,-0.108799943,-0.533126927,-0.951528581,-0.445608172
0.555378132,0.08513972,-0.837031595,-0.197960648,-0.776642839,-0.592398373,-0.790871829,0.381940877
0.194404164,0.554360809,-0.558433555,0.994944217,-0.775464196,0.428336152,-1.11840054,0.851982008
1.012262279,0.193515429,1.121666711,-0.736008019,1.427469271,0.257041374,1.20217135,0.850728888
-1.27346477,1.010807528,0.14837614,-0.296008772,0.283275181,-0.02747694,0.338200303,-0.44079726
1.889662878,-1.27346477,-0.688793264,1.087948249,-0.169574895,0.846977514,-0.692114076,-2.090928802
0.545230511,1.889662878,0.887631433,0.527104408,0.970908996,0.96811811,0.423561177,-0.319786566
0.733722954,0.544218847,1.209388643,1.170441749,0.395108657,1.166988456,0.688793264,0.07464013
-0.150140027,0.732581857,0.324379602,-0.14837614,-0.986396134,-0.675585098,0.999245637,0.072016563
-0.501222792,-0.151904382,0.106168262,-0.004796976,-0.473720302,-0.255238856,0.406450025,-0.114943495
-0.565583267,-0.502211945,-0.901948543,-0.961173661,0.338200303,-0.673395211,-0.746338815,-0.045805151
0.535138728,-0.566607011,0.500234129,-0.653828985,0.091268743,-0.525101154,0.673395211,1.495992797
1.32204939,0.534132557,1.349722289,0.586173064,0.46204353,0.781368244,1.086373347,1.158415535
0.201519638,1.32204939,0.550297238,-0.330821392,-0.163384473,-0.333586351,0.810096907,0.879898301
-0.853236468,0.200629653,-0.151022146,-0.411190985,0.086015093,-0.251636299,-0.161616941,0.48742546
-0.542197188,-0.854492272,0.818602532,0.350230628,0.452360849,0.586173064,0.669025093,-0.073765552
1.910884036,-0.54320774,-0.9556513,-1.080100509,0.14749437,-0.883758261,-0.571734674,-0.306047414
-1.220334214,1.910884036,0.903259268,1.03137278,0.143087225,0.946056648,0.387575971,-0.045805151
-0.528106829,-1.220334214,-0.771934712,-0.647362507,-1.427469271,-1.277399113,0.314283805,-0.079013893
-0.787299655,-0.52910978,0.028349454,0.435996528,-0.840751566,-0.129882098,0.123727588,0.066770898
0.419748145,-0.788489261,-1.495992797,-1.26371417,-0.162500644,-1.209388643,-0.673395211,-2.083229153
-0.643066528,0.418795841,0.542197188,1.220334214,0.207754046,1.153312393,-1.044826873,1.844803625
2.224779661,-0.644139407,-1.569367714,-1.287322493,1.058472801,-0.730302519,-1.974150359,1.593736217
-2.235262214,2.224779661,-0.900639365,-0.494312363,-0.166921075,-0.494312363,-0.796847993,-0.540177743
-1.080100509,-2.235262214,1.141520359,0.412140283,0.855749425,0.817383825,0.593438154,1.315805337
-2.291739701,-1.080100509,-1.120032132,1.43475476,-0.705474554,0.977919527,-2.032514469,1.334694545
2.527669001,-2.291739701,-0.608063375,-0.424515397,-0.172229909,-0.434079052,-0.640922986,0.638782385
-1.091106176,2.527669001,1.026929371,-0.002180437,0.790871829,0.495298116,-0.002180437,2.046473449
-2.053605206,-1.091106176,-1.349722289,-0.294186795,-1.394431983,-1.015178228,-0.783737499,-1.785916772
1.347556796,-2.053605206,1.289322441,1.092689227,-0.722354508,0.588245632,1.177390535,1.173909057
-0.940612896,1.347556796,0.598646726,-0.565583267,0.401718184,-0.211320177,0.420700829,1.669645303
1.938682475,-0.941971217,0.555378132,1.213021027,0.213996539,1.141520359,0.924446294,-2.214536021
-1.493327706,1.938682475,-1.498668555,-1.752546458,1.622332933,-0.9556513,-1.477555503,-0.436955868
-0.155434516,-1.493327706,-0.825940479,-1.584487555,0.47860466,-1.343244667,-0.858267798,2.15749273
-0.740589724,-0.157200306,0.629185596,1.124944893,-0.769587057,0.584103011,0.463985246,-0.32346045
-1.879363692,-0.741737579,-1.168713361,0.238155342,-0.17134477,0.127243862,-1.744501517,1.218499805
-1.798959723,-1.879363692,-1.214843235,-0.465928714,1.429889339,0.552327884,-1.295353446,-1.992858298
2.572713624,-1.798959723,-1.732641772,-1.32204939,0.222928937,-1.139848704,-1.62887118,-0.970908996
1.040321249,2.572713624,1.528837225,2.204519618,-1.168713361,1.713400791,0.129002587,1.462142526
-0.915126431,1.03882406,0.46301417,0.202409783,-0.174886138,0.09915399,0.000436087,1.422654058
0.931152798,-0.916452964,0.879898301,-0.454293966,0.885047843,0.189074031,0.899331729,0.733722954
0.548268859,0.929808153,1.11677192,1.224015405,0.839510285,1.382994127,-0.210428394,1.061532093
0.1000305,0.547255515,-0.511136623,0.459134216,-0.766073503,-0.061527069,-0.839510285,0.919110881
1.27937372,0.098277556,1.166988456,-0.612265873,0.409293498,-0.260648925,1.816840919,-0.813734965
-1.20217135,1.27937372,-0.596561356,-0.761403421,0.471769726,-0.426424996,-0.384756897,-0.544218847
-1.764830804,-1.20217135,-1.523248325,-1.173909057,-0.563537557,-1.244565307,-1.146554569,-1.018102835
1.669645303,-1.764830804,1.910884036,1.161834459,0.289636106,1.120032132,1.472378927,2.032514469
0.186410987,1.669645303,0.37538188,-1.11840054,1.921825674,0.360449806,-0.530113264,1.666140388
-0.867125323,0.1855236,1.265654672,1.676717315,-0.408345307,1.399058614,0.14837614,1.06613975
-1.572363007,-0.868396239,1.854453397,0.14749437,1.785916772,1.248358523,1.619089652,1.0832316
-0.254337908,-1.572363007,-1.227713258,-0.8113084,-0.40266383,-0.892816474,-1.191461372,0.623879037
-0.253437166,-0.255238856,0.11845603,0.476649553,-1.161834459,-0.337276939,0.681074052,-0.723487137
1.581434582,-0.254337908,-1.794578091,-1.826003817,0.020497526,-1.680284996,-1.358448218,-0.045805151
-1.768985396,1.581434582,0.549282766,1.351894129,-1.349722289,0.450429421,-0.241745933,1.464687258
0.533126927,-1.768985396,1.319962319,1.105453535,0.533126927,1.163549024,0.855749425,0.366972506
-0.267874266,0.532121836,-0.115821494,-0.603871589,1.220334214,0.282367418,0.32070463,-1.655746637
0.081638871,-0.26877841,0.460103555,1.257921022,-1.034346401,0.596561356,0.363243355,-0.887631433
0.296920129,0.079888824,-0.1000305,-1.317880981,0.9556513,-0.823489572,0.612265873,0.365107296
-0.651670466,0.296008772,-0.89672106,-0.954275258,-0.598646726,-1.073869886,-0.473720302,0.624938939
1.313735346,-0.652749346,1.884488298,1.050867573,-1.123304293,0.284183177,2.235262214,0.488407882
-0.451394924,1.313735346,0.278738685,0.787299655,0.264259871,0.813734965,-0.666844821,0.794454123
-0.545230511,-0.452360849,-0.5131254,-0.619646409,0.451394924,-0.250736171,-0.641994388,0.604918539
-0.983562746,-0.546242733,1.010807528,1.06613975,-0.277832077,0.800447387,0.467873942,0.989237463
0.52910978,-0.983562746,0.26877841,0.470795111,-0.39699532,0.188186201,0.03707589,0.463985246
1.184396641,0.528106829,0.711078664,-0.731441713,0.381940877,-0.456228783,1.338957371,-0.300568033
-0.7065936,1.184396641,0.698778724,1.041820774,-0.572762009,0.632378048,-0.26877841,1.578396278
-0.345597674,-0.70771353,0.395108657,1.016639445,-1.046333469,0.298743584,0.082513988,0.594478577
1.179136638,-0.346523669,-0.691006293,-0.017008214,0.608063375,0.381940877,-0.986396134,-0.617534255
-0.441758623,1.179136638,1.214843235,0.081638871,0.731441713,0.528106829,1.462142526,-0.51412055
1.097454893,-0.442720395,-0.411190985,-0.066770898,-0.872217434,-0.563537557,0.079013893,-0.517109062
0.28055259,1.095863572,-0.874771988,-0.819822456,-0.874771988,-1.105453535,-0.371641138,0.613318186
0.608063375,0.279645522,-0.101783752,0.133401157,-1.554598364,-0.915126431,0.614371179,0.77428663
0.371641138,0.605966151,1.669645303,1.338957371,-0.388516346,0.999245637,1.781635882,-0.66793456
1.22217274,0.370706767,0.342821465,-0.239950251,0.540177743,0.170459766,0.02922199,0.759074599
-0.338200303,1.22217274,0.476649553,0.358589003,-0.336353864,0.136041532,0.44079726,0.474696266
-0.141325149,-0.339123954,0.194404164,-0.107922633,-0.434079052,-0.314283805,0.32346045,0.753270463
1.72486864,-0.143087225,-1.648915599,0.973707466,-0.046678258,0.822265971,-1.790230644,-2.468450619
1.816840919,1.72486864,1.049353808,0.816166331,1.091106176,1.200376784,0.901948543,-1.506760899
1.933002351,1.816840919,-1.313735346,0.199739827,-0.48742546,-0.094772568,-1.36950321,-1.459607228
-0.51611238,1.933002351,-0.533126927,-1.175648015,0.835794177,-0.66032292,-0.297831733,0.453327196
1.900166496,-0.517109062,0.645213029,1.894888555,-0.959790327,1.44955867,-1.102245615,1.619089652
0.073765552,1.900166496,0.396051812,-0.872217434,-0.383817886,-0.919110881,1.133193708,0.924446294
-1.319962319,0.072016563,-1.72874215,-0.189074031,-1.548784461,-1.080100509,-1.528837225,-1.462142526
1.790230644,-1.32204939,0.603871589,-1.026929371,2.075651062,0.673395211,0.288726691,-0.289636106
1.205772146,1.790230644,1.648915599,1.62559337,-0.653828985,1.257921022,1.291327559,0.920442278
0.384756897,1.205772146,-0.96811811,-1.413121367,0.696553739,-1.055423384,-1.469805369,2.342849689
-0.512130758,0.383817886,-1.200376784,0.197071294,-2.15749273,-1.401383202,-0.223823145,-1.120032132
1.134852746,-0.5131254,1.27346477,2.279850406,-1.854453397,1.380728155,0.595519643,-0.16780555
-0.331742763,1.134852746,0.3932234,0.716705195,-0.101783752,0.597603716,-0.32346045,0.744036228
-1.261778414,-0.332664416,0.527104408,-0.862055597,0.876051407,-0.276925697,0.882470147,0.324379602
1.721020839,-1.261778414,0.891517967,0.630249033,-0.206862927,0.455261162,1.403715387,-1.612653706
-1.267599952,1.721020839,-1.385267222,-1.238908832,-0.596561356,-1.336822921,-0.093896504,-2.13141491
1.345397604,-1.267599952,0.48742546,1.328345417,-2.106710767,-0.595519643,0.646287395,1.606283874
-0.800447387,1.345397604,-0.683275383,-1.622332933,0.755589062,-1.267599952,-0.771934712,2.148636989
1.493327706,-0.80164949,0.733722954,0.795650488,-0.205971973,0.595519643,-0.322541571,1.777387395
-1.974150359,1.493327706,-1.49067318,-1.399058614,0.301480632,-1.205772146,-0.894116488,-1.740521026
-2.075651062,-1.974150359,-1.702153945,-0.799246438,-1.72486864,-1.509480397,-2.291739701,2.506939688
-2.682524069,-2.075651062,-1.358448218,-2.268274904,0.014391369,-2.175729346,0.166036731,1.531649674
-1.807828069,-2.682524069,-1.599978558,-0.532121836,-0.046678258,-0.457196832,-1.165267017,-2.303962053
1.705878952,-1.807828069,2.48723471,1.849606982,0.833323172,1.956108864,1.83532264,1.938682475
-2.279850406,1.705878952,-0.39699532,1.736567923,-1.999252214,0.387575971,-0.983562746,0.887631433
0.648438368,-2.279850406,-0.840751566,-0.485462026,0.931152798,0.190850138,-1.606283874,1.905497907
1.916326178,0.647362507,0.403609835,1.131537783,-2.005728924,-0.60911299,1.141520359,-0.422607344
-1.514953135,1.916326178,-0.970908996,-0.805262774,0.754429256,-0.286908575,-1.139848704,0.698778724
2.13141491,-1.514953135,-0.662493754,0.903259268,1.974150359,1.764830804,-2.256995584,1.980309568
-1.849606982,2.13141491,-0.775464196,-1.560465295,1.05238375,-1.089525855,1.301431939,-2.224779661
-1.659191329,-1.849606982,-0.405502932,1.859343765,1.569367714,2.204519618,-1.603123249,-2.245996299
2.370890182,-1.659191329,1.06613975,1.477555503,0.890220962,1.615863313,-0.413089953,0.067645044
-0.830857244,2.370890182,2.370890182,1.768985396,1.080100509,1.950234081,1.65232148,1.457081278
0.174886138,-0.832089575,0.293276173,-1.06613975,0.673395211,-0.617534255,1.037329196,-0.409293498
0.872217434,0.174000593,-1.063065471,1.485395416,-1.115146256,0.821043601,-1.512211104,-1.27937372
-1.509480397,0.87094229,-0.670116422,-0.829626173,0.90720079,-0.201519638,-0.718962166,-0.176657643
-0.248936525,-1.509480397,-0.576877415,-1.373972424,1.39212982,-0.652749346,0.084264411,-0.874771988
0.777822561,-0.249836247,1.548784461,1.619089652,0.437915609,1.612653706,0.37538188,1.338957371
1.227713258,0.776642839,1.070770153,-0.191738417,1.420258772,0.737151994,0.608063375,1.136514914
-0.692114076,1.227713258,0.149258026,-0.32346045,-0.716705195,-0.637713181,0.636644706,0.681074052
0.494312363,-0.69322271,0.200629653,0.170459766,-0.211320177,0.038821495,0.077264211,0.458165309
-1.642160649,0.493327091,-1.572363007,0.129002587,0.136041532,0.209536778,-1.777387395,-1.790230644
2.329492585,-1.642160649,-0.2363612,2.291739701,-0.158083385,2.123035587,-1.311670969,-2.256995584
0.78018526,2.329492585,-0.898025629,-1.49067318,-0.573789949,-1.531649674,-0.13076171,1.575372474
0.286908575,0.779003367,-1.11677192,-1.385267222,0.564560117,-1.06613975,-0.271492163,-1.495992797
-0.639852319,0.285999873,-1.803376167,-0.89672106,-0.636644706,-1.049353808,-1.826003817,-0.714451869
-0.851982008,-0.640922986,0.551312277,1.534474291,-0.80646954,1.047842443,-0.562515586,0.697665799
-0.990661127,-0.853236468,0.114943495,-0.328979491,0.936548306,0.346523669,-0.045805151,-0.624938939
1.191461372,-0.990661127,1.537311204,1.980309568,-1.469805369,1.324142236,1.315805337,-0.527104408
0.403609835,1.191461372,1.575372474,2.025680904,-0.939256309,1.63547981,0.713326566,0.687688014
0.172229909,0.40266383,1.124944893,0.901948543,-0.613318186,0.452360849,1.517706604,-1.078538927
-0.963945862,0.17134477,-1.115146256,-0.716705195,-0.212212129,-0.725755183,-0.799246438,-1.138180228
0.77428663,-0.965334744,-0.435996528,0.676681256,-0.046678258,0.594478577,-1.006456052,0.204190554
-1.992858298,0.773110137,-0.567631348,-0.946056648,-0.158966588,-0.894116488,-0.186410987,0.86966856
1.432317811,-1.992858298,-1.606283874,0.082513988,0.561494202,0.421653895,-2.11480273,-0.537152696
1.587555369,1.432317811,-0.600734703,-0.243542395,-0.640922986,-0.542197188,0.438875754,-1.687485215
-1.874287971,1.587555369,-2.370890182,-1.812316092,-1.019568408,-1.921825674,-2.098754444,0.220247382
2.15749273,-1.874287971,-1.163549024,0.449464337,0.658155193,0.760238494,-1.543022443,-1.645528739
-2.245996299,2.15749273,-1.299400438,0.409293498,0.15631735,0.453327196,-0.853236468,-2.651952347
2.316538596,-2.245996299,0.992086801,0.374446204,1.328345417,1.034346401,-0.003052614,1.126588526
