,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH,LH0_ON,LH0_FH,LH0_ONFH,LH0_M,LH0_SLH,LH0_ROD,ON_FH,ON_ONFH,ON_M,ON_SLH,ON_ROD,FH_ONFH,FH_M,FH_SLH,FH_ROD,ONFH_M,ONFH_SLH,ONFH_ROD,M_SLH,M_ROD,SLH_ROD
0,0.200629653,-1.289322441,0.009157956,-0.467873942,0.355800122,-0.132521239,0.260648925,-0.450429421,3,2,3,2,3,2,2,3,2,3,2,1,0,1,0,2,3,2,1,0,2
1,-1.301431939,0.199739827,-0.994944217,-0.200629653,-1.03137278,-0.733722954,-0.745187028,-0.564560117,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,1.128235208,-1.303468825,-0.124606512,-0.09915399,-0.568656281,-0.398883397,0.555378132,-1.028408251,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,2,3,3,1,1,3
3,-0.425470002,1.128235208,0.919110881,-0.047551401,0.692114076,0.405502932,1.087948249,-0.568656281,1,0,0,0,1,0,2,2,2,3,2,0,0,1,0,0,1,0,1,0,2
4,-0.272397192,-0.426424996,0.336353864,0.223823145,-0.241745933,0.075514766,0.441758623,-0.17931594,2,3,2,2,3,2,1,0,0,1,0,2,2,3,2,0,1,0,1,0,2
5,0.198850159,-0.273302443,-0.124606512,0.620703523,-0.2390527,0.435996528,-0.77428663,0.741737579,2,3,2,3,2,3,1,0,1,0,1,2,3,2,3,1,0,1,2,3,1
6,-0.394165853,0.197960648,-0.064148763,0.003924793,0.552327884,0.371641138,-0.353014006,-0.535138728,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,3,3,3
7,0.434079052,-0.395108657,0.096524913,-0.70771353,-0.366039741,-0.794454123,0.68548003,0.854492272,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,0,0,0
8,-0.669025093,0.433120912,0.34837655,-1.049353808,0.025731974,-0.909836319,1.134852746,0.648438368,1,0,1,0,0,0,2,3,2,2,2,1,0,0,0,2,2,2,0,0,0
9,-0.980737232,-0.670116422,-1.275429474,-0.816166331,0.293276173,-0.568656281,-1.214843235,-0.943331278,3,2,3,3,3,3,2,3,3,3,3,1,1,1,1,3,3,3,3,3,3
10,0.941971217,1.11677192,-0.950157931,1.921825674,0.161616941,0.16780555,-1.396741561,0.958408827,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,2,3,1
11,-0.892816474,0.940612896,-0.872217434,-0.342821465,-0.308790544,-0.442720395,-0.744036228,-0.67120855,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,1.447069274,-0.894116488,0.730302519,0.634509933,0.166921075,0.662493754,0.264259871,0.531117283,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-1.123304293,1.447069274,-0.351158118,-0.340972127,-0.242644066,-0.390398129,0.000436087,-0.559453188,1,1,1,0,1,1,3,3,2,3,3,3,2,3,3,2,3,3,1,1,3
14,1.032858449,-1.123304293,0.50518236,0.50518236,-0.30787591,0.299655684,0.34837655,0.386635939,2,3,2,2,2,2,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0
15,1.309612167,1.03137278,0.417843918,0.160733365,-0.16426843,0.055411396,1.163549024,-1.683874193,0,1,0,0,1,0,1,0,0,1,0,2,2,3,2,0,1,0,1,0,2
16,-0.145731173,1.309612167,0.225612097,-0.055411396,-0.30513355,-0.176657643,0.814950046,-1.069224138,1,1,1,0,1,0,3,3,2,3,2,3,2,3,2,2,3,2,1,0,2
17,-1.072318731,-0.14749437,-0.583068923,0.107045406,0.616479212,0.46495676,-0.9556513,-0.558433555,2,2,2,3,3,3,0,0,1,1,1,0,1,1,1,1,1,1,3,3,3
18,-0.158966588,-1.072318731,-1.380728155,-0.11845603,-0.274207918,-0.202409783,-1.680284996,-0.328979491,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
