,R_LH,R_LH0,R_ROD,R_ON,R_FH,R_ONFH,R_M,R_SLH,LH0_ON,LH0_FH,LH0_ONFH,LH0_M,LH0_SLH,LH0_ROD,ON_FH,ON_ONFH,ON_M,ON_SLH,ON_ROD,FH_ONFH,FH_M,FH_SLH,FH_ROD,ONFH_M,ONFH_SLH,ONFH_ROD,M_SLH,M_ROD,SLH_ROD
0,-0.413448525,-0.419141383,1.184092981,0.935498584,-0.527197808,0.668766299,0.993687829,0.964185084,2,3,2,2,2,2,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0
1,-0.978127826,-0.413448525,0.155494113,-0.061813241,-0.771396316,-0.431522957,0.547300701,0.223716209,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,0,0,0
2,-0.117728807,-0.97953257,-0.058326735,-0.635404133,0.062684984,-0.552360854,0.770225295,-0.919446927,3,2,3,2,3,3,2,3,2,3,3,1,0,1,1,2,3,3,1,1,3
3,-1.414425285,-0.117728807,-0.688482627,0.29118102,-0.891911957,-0.188166326,-0.56456349,-0.89450507,2,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
4,0.76438595,-1.416795017,0.094104642,0.378628771,-0.825244304,-0.060069897,0.480764631,-0.861248839,2,3,3,2,3,2,1,1,0,1,0,3,2,3,2,2,3,2,1,0,2
5,-0.381434394,0.763221209,0.908876195,0.375826125,0.691794651,0.694006887,0.854962292,-0.347033076,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
6,-0.273073202,-0.381434394,0.595447171,0.449739482,-0.017401977,0.426753085,0.491535779,-0.218366772,2,3,2,2,3,2,1,0,0,1,0,2,2,3,2,0,1,0,1,0,2
7,-0.081876552,-0.273073202,0.313951609,0.675309188,0.059198294,0.652532648,-0.506316471,0.784348206,2,2,2,3,2,2,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0
8,-0.116852747,-0.081876552,0.262251714,0.27036488,0.630089712,0.577878635,-0.252358954,-0.260451148,2,2,2,3,3,2,0,0,1,1,0,0,1,1,0,1,1,0,3,2,2
9,0.0,-0.116852747,-0.220149216,-0.706235572,-0.592333611,-0.853709035,0.366505112,0.827692799,3,3,3,2,2,3,3,3,2,2,3,3,2,2,3,2,2,3,0,1,1
10,-0.407769035,0.000870055,0.51921638,-0.44013362,0.060069897,-0.360927803,0.857472844,0.742429514,1,0,1,0,0,0,2,3,2,2,2,1,0,0,0,2,2,2,0,0,0
11,-1.012392913,-0.407769035,-1.323408971,-0.972528043,0.175782121,-0.833835866,-1.133028321,-0.811864925,3,2,3,3,3,3,2,3,3,3,3,1,1,1,1,3,3,3,3,3,3
12,1.081630224,-1.01384646,0.940902943,0.578907103,0.559468942,0.779623305,0.492517789,0.708470307,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.724213946,1.080069859,-0.566605411,-0.022623358,0.762057502,0.407769035,-1.106963719,0.709589001,1,0,0,1,0,1,2,2,3,2,3,0,1,0,1,1,0,1,2,3,1
14,-0.577878635,0.723083475,-0.132636224,0.148452815,0.094104642,0.221932359,-0.36278565,-0.261351325,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,3,3,3
